Joséphine Delorme;Marvel Vs. Capcom Infinite;Naruto Shippuden: Ultimate Ninja Storm 2;Cuphead;Nioh;Nier: Automata
Jeanne Camus;Fallout 4 VR;VRChat;Hollow Knight;NieR:Automata™;Prey
Stéphanie Menard;Resident Evil 7;Bayonetta;Prey;Hollow Knight;Divinity: Original Sin 2
Martine Collin-Carpentier;;;;PLAYERUNKOWN'S BATTLEGROUNDS;Doki Doki Literature Club!
Rémy Camus-Muller;Cuphead;Night In The Woods;Getting Over it with Bennett Foddy;Hollow Knight;Divinity Original Sin 2
Thibaut Alexandre;????? ? Hidden Star in Four Seasons.;Zwei: The Ilvard Insurrection;The Legend of Heroes: Trails of Cold Steel;Hollow Knight;The Legend of Heroes: Trails in the Sky the 3rd
Alice Laurent;Sonic Mania;Night In Woods;Cuphead;Cosmic Star Heroine;Divinity: Orginal Sin 2
Emmanuel-Zacharie Blondel;Organ Quarter;TEKKEN 7;Assassin's Creed® Origins;Hollow Knight;NieR:Automata™
Étienne Lefort;Cluckle's Adventure;The Darkside Detective;Sonic Mania;Life is Strange: Before the Storm;Zwei: The Ilvard Insurrection
Aimé Gilbert de la Robin;Zwei: The Ilvard Insurrection;PLAYERUNKNOWN'S BATTLEGROUNDS;Cosmic Star Heroine;The Legend of Heroes: Trails in the Sky the 3rd;Divinity: Original Sin 2
Philippe Lopes;;;;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;Prey
Marcelle Pascal;Ys SEVEN;The Infectious Madness of Doctor Dekker;Danganronpa V3: Killing Harmony;Sonic Mania;Hollow Knight
Benjamin Lesage de Lamy;Middle-earth™: Shadow of War™;Vanquish;Sniper Elite 4;Dishonored®: Death of the Outsider™;Prey
René du Fernandez;;Dishonored®: Death of the Outsider™;Cuphead;Assassin's Creed® Origins;Prey
Margot Dijoux;EVERSPACE™;Sniper Elite 4;Prey;Gorogoa;Hollow Knight
Sébastien Rousseau-Gillet;Opus Magnum;RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil;Hollow Knight;The Legend of Heroes: Trails in the Sky the 3rd;NieR:Automata™
Célina-Charlotte Morel;Hellblade: Senua's Sacrifice;Divinity: Original Sin 2;Prey;Sonic Mania;Total War: WARHAMMER II
Jules Durand-Payet;Night in the Woods;Cuphead;Total War: Warhammer 2;What Remains of Edith Finch;Divinity: Original Sin 2
Sylvie Ollivier;PLAYERUNKNOWN'S BATTLEGROUNDS;Ys SEVEN;Divinity: Original Sin 2;NieR:Automata™;The Legend of Heroes: Trails in the Sky the 3rd
Denis Fernandez;Wolfenstein 2: The New Colossus;Cuphead;Assassin's Creed Origins;Prey;Nier: Automata
Nicolas Renard-Riviere;Snake Pass;Cuphead;A Hat In Time;Nioh: Complete Edition;Hollow Knight
Audrey Delannoy-Bazin;NieR:Automata™;Wolfenstein II: The New Colossus;Prey;Hollow Knight;Heat Signature
Alphonse Fouquet;The Legend of Heroes: Trails of Cold Steel;Hollow Knight;Zwei: The Ilvard Insurrection;Rakuen;Trails in the Sky the 3rd
Sophie Fournier;Battle Chasers: Nightwar;The Evil Within 2;The Sexy Brutale;Divinity: Original Sin 2;Pyre
Alexandre Boyer;;Rising Storm 2: Vietnam;Pyre;Life is Strange: Before the Storm;Divinity: Original Sin 2
Auguste Morvan de Hebert;Marvel vs. Capcom Infinite;What Remains of Edith Finch;Injustice 2;Cuphead;Night in the Woods
Margot Maillet;;South Park: The fractured but whole;Assassin's Creed Origins;Divinity: Original Sin 2;Hollow Knight
Camille Besnard;Cuphead;Turok 2;Nioh;A Hat in Time;Hollow Knight
